genres,item_name,release_date,item_id,user_id
Action,Lost Summoner Kitty,2018-01-04,761140,nan
Casual,Lost Summoner Kitty,2018-01-04,761140,nan
Indie,Lost Summoner Kitty,2018-01-04,761140,nan
Simulation,Lost Summoner Kitty,2018-01-04,761140,nan
Strategy,Lost Summoner Kitty,2018-01-04,761140,nan
Free to Play,Ironbound,2018-01-04,643980,nan
Indie,Ironbound,2018-01-04,643980,nan
RPG,Ironbound,2018-01-04,643980,nan
Strategy,Ironbound,2018-01-04,643980,nan
Casual,Real Pool 3D - Poolians,2017-07-24,670290,nan
Free to Play,Real Pool 3D - Poolians,2017-07-24,670290,nan
Indie,Real Pool 3D - Poolians,2017-07-24,670290,nan
Simulation,Real Pool 3D - Poolians,2017-07-24,670290,nan
Sports,Real Pool 3D - Poolians,2017-07-24,670290,nan
Action,弹炸人2222,2017-12-07,767400,nan
Adventure,弹炸人2222,2017-12-07,767400,nan
Casual,弹炸人2222,2017-12-07,767400,nan
Action,Battle Royale Trainer,2018-01-04,772540,nan
Adventure,Battle Royale Trainer,2018-01-04,772540,nan
Simulation,Battle Royale Trainer,2018-01-04,772540,nan
Free to Play,SNOW - All Access Basic Pass,2018-01-04,774276,nan
Indie,SNOW - All Access Basic Pass,2018-01-04,774276,nan
Simulation,SNOW - All Access Basic Pass,2018-01-04,774276,nan
Sports,SNOW - All Access Basic Pass,2018-01-04,774276,nan
Free to Play,SNOW - All Access Pro Pass,2018-01-04,774277,nan
Indie,SNOW - All Access Pro Pass,2018-01-04,774277,nan
Simulation,SNOW - All Access Pro Pass,2018-01-04,774277,nan
Sports,SNOW - All Access Pro Pass,2018-01-04,774277,nan
Free to Play,SNOW - All Access Legend Pass,2018-01-04,774278,nan
Indie,SNOW - All Access Legend Pass,2018-01-04,774278,nan
Simulation,SNOW - All Access Legend Pass,2018-01-04,774278,nan
Sports,SNOW - All Access Legend Pass,2018-01-04,774278,nan
Casual,Race,2018-01-04,768800,nan
Indie,Race,2018-01-04,768800,nan
Racing,Race,2018-01-04,768800,nan
Simulation,Race,2018-01-04,768800,nan
Action,Uncanny Islands,Soon..,768570,nan
Indie,Uncanny Islands,Soon..,768570,nan
Simulation,Uncanny Islands,Soon..,768570,nan
Early Access,Uncanny Islands,Soon..,768570,nan
Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,nan
Adventure,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,nan
Casual,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,nan
Indie,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,nan
RPG,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,nan
Casual,Beach Rules,2018-01-04,768880,nan
Indie,Beach Rules,2018-01-04,768880,nan
Casual,Planetarium 2 - Zen Odyssey,2018-01-03,765320,nan
Indie,Planetarium 2 - Zen Odyssey,2018-01-03,765320,nan
Simulation,Planetarium 2 - Zen Odyssey,2018-01-03,765320,nan
Adventure,The first thrust of God,2018-01-03,773650,nan
Casual,The first thrust of God,2018-01-03,773650,nan
Indie,The first thrust of God,2018-01-03,773650,nan
Simulation,The first thrust of God,2018-01-03,773650,nan
Strategy,The first thrust of God,2018-01-03,773650,nan
Free to Play,SNOW - Starter Pack,2018-01-03,774271,nan
Indie,SNOW - Starter Pack,2018-01-03,774271,nan
Simulation,SNOW - Starter Pack,2018-01-03,774271,nan
Sports,SNOW - Starter Pack,2018-01-03,774271,nan
Adventure,The first thrust of God - All Aircrafts,2018-01-03,773690,nan
Casual,The first thrust of God - All Aircrafts,2018-01-03,773690,nan
Indie,The first thrust of God - All Aircrafts,2018-01-03,773690,nan
Simulation,The first thrust of God - All Aircrafts,2018-01-03,773690,nan
Strategy,The first thrust of God - All Aircrafts,2018-01-03,773690,nan
Free to Play,SNOW - Lifetime Pack,2018-01-03,774279,nan
Indie,SNOW - Lifetime Pack,2018-01-03,774279,nan
Simulation,SNOW - Lifetime Pack,2018-01-03,774279,nan
Sports,SNOW - Lifetime Pack,2018-01-03,774279,nan
Action,The Warrior Of Treasures,2018-01-03,768060,nan
Adventure,The Warrior Of Treasures,2018-01-03,768060,nan
Indie,The Warrior Of Treasures,2018-01-03,768060,nan
Racing,RC Plane 3 - Canyon Scenario,2017-12-22,775880,nan
Simulation,RC Plane 3 - Canyon Scenario,2017-12-22,775880,nan
Sports,RC Plane 3 - Canyon Scenario,2017-12-22,775880,nan
Racing,RC Plane 3 - F-53B,2017-12-23,775881,nan
Simulation,RC Plane 3 - F-53B,2017-12-23,775881,nan
Sports,RC Plane 3 - F-53B,2017-12-23,775881,nan
Action,DinoBlaster,2018-01-03,653960,nan
Indie,DinoBlaster,2018-01-03,653960,nan
Action,Carmageddon Max Pack,1997-06-30,282010,nan
Indie,Carmageddon Max Pack,1997-06-30,282010,nan
Racing,Carmageddon Max Pack,1997-06-30,282010,nan
Action,Half-Life,1998-11-08,70,nan
Action,Fallen Mage,2016-11-25,752360,nan
Indie,Fallen Mage,2016-11-25,752360,nan
RPG,Fallen Mage,2016-11-25,752360,nan
Casual,Lost Cities,2018-01-01,520680,nan
Indie,Lost Cities,2018-01-01,520680,nan
Strategy,Lost Cities,2018-01-01,520680,nan
Action,Twisted Enhanced Edition,2018-01-01,690410,nan
Casual,Vaporwave Simulator,2018-01-01,766850,nan
Indie,Vaporwave Simulator,2018-01-01,766850,nan
Simulation,Vaporwave Simulator,2018-01-01,766850,nan
Action,Tactics Forever,2018-01-01,413120,nan
Casual,Tactics Forever,2018-01-01,413120,nan
Indie,Tactics Forever,2018-01-01,413120,nan
Massively Multiplayer,Tactics Forever,2018-01-01,413120,nan
Simulation,Tactics Forever,2018-01-01,413120,nan
Sports,Tactics Forever,2018-01-01,413120,nan
Strategy,Tactics Forever,2018-01-01,413120,nan
Adventure,Christmas Santa Troubles,2017-12-30,773120,nan
Casual,Christmas Santa Troubles,2017-12-30,773120,nan
Indie,Christmas Santa Troubles,2017-12-30,773120,nan
Action,Underdone - Soundtrack,2018-01-01,754360,nan
Adventure,Underdone - Soundtrack,2018-01-01,754360,nan
RPG,Underdone - Soundtrack,2018-01-01,754360,nan
Adventure,Bitcoin Clicker,2018-01-01,716110,nan
Casual,Bitcoin Clicker,2018-01-01,716110,nan
Indie,Bitcoin Clicker,2018-01-01,716110,nan
RPG,Bitcoin Clicker,2018-01-01,716110,nan
Strategy,Disciples II: Gallean's Return,2006-07-06,1640,nan
Strategy,Disciples II: Rise of the Elves,2006-07-06,1630,nan
Action,The Ship: Murder Party,2006-07-11,2400,nan
Indie,The Ship: Murder Party,2006-07-11,2400,nan
RPG,The Ship: Murder Party,2006-07-11,2400,nan
Indie,Life of Rome,2017,381620,nan
Massively Multiplayer,Life of Rome,2017,381620,nan
RPG,Life of Rome,2017,381620,nan
Early Access,Life of Rome,2017,381620,nan
Adventure,Idle Adventure,Beta测试已开启,714020,nan
Free to Play,Idle Adventure,Beta测试已开启,714020,nan
RPG,Idle Adventure,Beta测试已开启,714020,nan
Early Access,Idle Adventure,Beta测试已开启,714020,nan
Action,Souland,2017-12-29,759920,nan
Indie,Souland,2017-12-29,759920,nan
Strategy,Souland,2017-12-29,759920,nan
Early Access,Souland,2017-12-29,759920,nan
Action,Darkness and a Crowd,2018-03-30,659780,nan
Adventure,Darkness and a Crowd,2018-03-30,659780,nan
Indie,Darkness and a Crowd,2018-03-30,659780,nan
RPG,Darkness and a Crowd,2018-03-30,659780,nan
Strategy,Darkness and a Crowd,2018-03-30,659780,nan
Action,TAROTICA VOO DOO,2017-12-29,603280,nan
Adventure,TAROTICA VOO DOO,2017-12-29,603280,nan
Indie,TAROTICA VOO DOO,2017-12-29,603280,nan
RPG,TAROTICA VOO DOO,2017-12-29,603280,nan
Casual,Chronicles of Vinland,2017-12-29,753110,nan
Strategy,Chronicles of Vinland,2017-12-29,753110,nan
Early Access,Chronicles of Vinland,2017-12-29,753110,nan
Action,Orbitality,2017-12-29,753100,nan
Indie,Orbitality,2017-12-29,753100,nan
Action,Atomic Adam: Episode 1,2017-12-30,764280,nan
Adventure,Atomic Adam: Episode 1,2017-12-30,764280,nan
Casual,Atomic Adam: Episode 1,2017-12-30,764280,nan
Adventure,Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,758550,nan
Casual,Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,758550,nan
Free to Play,Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,758550,nan
Indie,Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,758550,nan
Action,Advent Rising,2005-08-09,3800,nan
Indie,DEFCON,2006-09-29,1520,nan
Strategy,DEFCON,2006-09-29,1520,nan
Action,The Ship: Single Player,2006-11-20,2420,nan
Indie,The Ship: Single Player,2006-11-20,2420,nan
RPG,The Ship: Single Player,2006-11-20,2420,nan
Indie,Garry's Mod,2006-11-29,4000,nan
Simulation,Garry's Mod,2006-11-29,4000,nan
Racing,RACE - The WTCC Game,2006-11-24,4230,nan
Casual,Zen of Sudoku,2006-12-14,4900,nan
Indie,Zen of Sudoku,2006-12-14,4900,nan
Casual,Gumboy - Crazy Adventures™,2006-12-19,2520,nan
Indie,Gumboy - Crazy Adventures™,2006-12-19,2520,nan
Strategy,Ghost Master®,2003-08-23,6200,nan
Strategy,Vegas: Make It Big™,2006-12-21,6210,nan
Adventure,Dreamfall: The Longest Journey,2006-04-17,6300,nan
RPG,Dreamfall: The Longest Journey,2006-04-17,6300,nan
Racing,FlatOut 2™,2006-08-01,2990,nan
Racing,FlatOut,2005-07-12,6220,nan
Action,Lost Planet™: Extreme Condition,2007-06-26,6510,nan
Adventure,Lost Planet™: Extreme Condition,2007-06-26,6510,nan
Strategy,CivCity: Rome,2006-07-24,3980,nan
RPG,Arx Fatalis,2002-11-12,1700,nan
Action,The Longest Journey,2000-11-17,6310,nan
Adventure,The Longest Journey,2000-11-17,6310,nan
RPG,The Longest Journey,2000-11-17,6310,nan
Strategy,Civilization IV®: Warlords,2006-07-24,3990,nan
Strategy,Railroad Tycoon 3,2003-10-23,7610,nan
Strategy,Sid Meier's Railroads!,2006-10-16,7600,nan
Strategy,Railroad Tycoon II Platinum,1998-10-31,7620,nan
Casual,RIP - Trilogy™,2007-06-01,2540,nan
Indie,RIP - Trilogy™,2007-06-01,2540,nan
Strategy,X-COM: Terror From the Deep,1995-04-01,7650,nan
Action,Tomb Raider: Anniversary,2007-06-05,8000,nan
Adventure,Tomb Raider: Anniversary,2007-06-05,8000,nan
Action,Devil May Cry® 3 Special Edition,2006-05-23,6550,nan
Action,Sam & Max 101: Culture Shock,2006-10-17,8200,nan
Adventure,Sam & Max 101: Culture Shock,2006-10-17,8200,nan
Action,Final DOOM,1996-06-17,2290,nan
Indie,Vigil: Blood Bitterness™,2007-06-29,2570,nan
RPG,Vigil: Blood Bitterness™,2007-06-29,2570,nan
Action,Sam & Max 102: Situation: Comedy,2006-12-20,8210,nan
Adventure,Sam & Max 102: Situation: Comedy,2006-12-20,8210,nan
Action,Ultimate Doom,1995-04-30,2280,nan
Action,Master Levels for Doom II,1995-06-01,9160,nan
Action,DOOM II,1994-05-05,2300,nan
Action,Wolfenstein 3D,1994-08-03,2270,nan
Action,Return to Castle Wolfenstein,2001-11-20,9010,nan
Action,QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,9040,nan
Action,Spear of Destiny,1993-10-10,9000,nan
Action,BloodRayne,2003-09-09,3810,nan
Action,QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,9030,nan
Action,QUAKE,2007-05-31,2310,nan
Strategy,Genesis Rising,2007-03-20,3230,nan
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,9310,nan
Action,BioShock™,2007-08-21,7670,nan
RPG,BioShock™,2007-08-21,7670,nan
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,4570,nan
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,4580,nan
Strategy,Rome: Total War™ - Collection,2004-09-22,4760,nan
Strategy,Rome: Total War™ - Alexander,2006-06-26,4770,nan
Casual,Mystery Case Files: Madame Fate®,2007-12-14,50970,nan
Action,Grand Theft Auto,1998-06-30,12170,nan
Action,Grand Theft Auto 2,1999-10-25,12180,nan
Action,Manhunt,2004-04-20,12130,nan
Racing,Midnight Club 2,2003-07-01,12160,nan
Action,Max Payne 2: The Fall of Max Payne,2003-10-14,12150,nan
Action,Tomb Raider: Legend,2006-04-07,7000,nan
Adventure,Tomb Raider: Legend,2006-04-07,7000,nan
Action,Max Payne,2001-07-25,12140,nan
Strategy,Command & Conquer: Red Alert 3,2008-10-28,17480,nan
Casual,PuzzleQuest: Challenge of the Warlords,2007-10-10,12500,nan
RPG,Culpa Innata,2007-10-23,12310,nan
Casual,Culpa Innata,2007-10-23,12310,nan
Adventure,Culpa Innata,2007-10-23,12310,nan
Strategy,Prison Tycoon 3™: Lockdown,2007-08-01,12510,nan
Action,Hunting Unlimited™ 2008,2007-09-01,12530,nan
Adventure,Hunting Unlimited™ 2008,2007-09-01,12530,nan
Strategy,Hunting Unlimited™ 2008,2007-09-01,12530,nan
Racing,18 Wheels of Steel: American Long Haul,2007-12-03,12520,nan
Action,Conflict: Denied Ops,2008-02-08,8100,nan
Action,ARMA: Combat Operations,2007-05-08,2780,nan
Simulation,Tycoon City: New York,2006-02-21,9730,nan
Action,Desperados 2: Cooper's Revenge,2006-05-02,9710,nan
Action,Death to Spies,2007-10-16,9800,nan
Adventure,Death to Spies,2007-10-16,9800,nan
Action,Act of War: High Treason,2006-05-30,9760,nan
Simulation,RollerCoaster Tycoon® 3: Platinum,2006-10-26,2700,nan
Strategy,RollerCoaster Tycoon® 3: Platinum,2006-10-26,2700,nan
Action,Act of War: Direct Action,2005-03-14,2710,nan
Action,Unreal 2: The Awakening,2003-02-03,13200,nan
Action,Unreal Gold,1998-04-30,13250,nan
Casual,Ninja Reflex: Steamworks Edition,2008-03-21,13000,nan
Indie,Ninja Reflex: Steamworks Edition,2008-03-21,13000,nan
Action,Tom Clancy's Splinter Cell®,2003-02-18,13560,nan
Action,Far Cry®,2004-03-23,13520,nan
Action,Unreal Tournament: Game of the Year Edition,2000-10-25,13240,nan
Action,Tom Clancy's Rainbow Six® Vegas,2006-12-12,13540,nan
Simulation,Silent Hunter® III,2005-03-15,15210,nan
Casual,Virtual Villagers - The Secret City,2008-05-28,16180,nan
Simulation,Virtual Villagers - The Secret City,2008-05-28,16180,nan
Casual,Mystery P.I.™ - The Vegas Heist,2008-06-04,3520,nan
Casual,Luxor,2008-06-10,15970,nan
Casual,Reaxxion,2008-06-10,15950,nan
Casual,Little Farm,2008-06-10,15960,nan
Casual,7 Wonders II,2008-06-10,15900,nan
Casual,Luxor Amun Rising,2005-12-08,15910,nan
Casual,Luxor 3,2007-11-13,15930,nan
Simulation,Petz® Horsez® 2,2007-11-13,15160,nan
Casual,Luxor 2,2005-12-08,15920,nan
Action,Rayman Raving Rabbids™,2007-03-27,15080,nan
Adventure,Rayman Raving Rabbids™,2007-03-27,15080,nan
Simulation,Silent Hunter®: Wolves of the Pacific,2007-03-20,15200,nan
Simulation,IL-2 Sturmovik: 1946,2006-12-15,15320,nan
Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,15240,nan
Adventure,Bone: Out From Boneville,2005-09-15,8310,nan
Racing,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,12600,nan
Adventure,Bone: The Great Cow Race,2006-04-12,8320,nan
Racing,Sprint Cars Road to Knoxville,2008-07-29,12590,nan
Simulation,Ride! Carnival Tycoon,2007-07-02,12560,nan
Casual,Mahjongg Investigations: Under Suspicion,2007-08-08,12540,nan
Adventure,Dracula Origin,2008-05-20,11050,nan
Sports,Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,10520,nan
Adventure,Sherlock Holmes - Nemesis,2008-04-14,11040,nan
RPG,Sherlock Holmes - Nemesis,2008-04-14,11040,nan
Adventure,Eternity's Child,2008-07-31,19500,nan
Indie,Eternity's Child,2008-07-31,19500,nan
Simulation,Pacific Storm Allies,2007-05-25,11260,nan
Strategy,Pacific Storm Allies,2007-05-25,11260,nan
Action,Tank Universal,2008-08-21,19200,nan
Indie,Tank Universal,2008-08-21,19200,nan
Racing,FlatOut: Ultimate Carnage,2008-08-19,12360,nan
Adventure,Oddworld: Abe's Exoddus®,1998-11-17,15710,nan
Adventure,Oddworld: Abe's Oddysee®,1997-12-12,15700,nan
Racing,GTR Evolution Expansion Pack for RACE 07,2008-09-01,8660,nan
Strategy,X-COM: Enforcer,2001-04-19,7770,nan
Strategy,X-COM: Apocalypse,1997-07-15,7660,nan
Strategy,X-COM: UFO Defense,1993-12-31,7760,nan
Action,S.T.A.L.K.E.R.: Clear Sky,2008-09-15,20510,nan
RPG,S.T.A.L.K.E.R.: Clear Sky,2008-09-15,20510,nan
Action,Crysis Warhead®,2008-09-17,17330,nan
Action,Crysis,2007-11-13,17300,nan
