genres,item_name,release_date,item_id,user_id
['Action' 'Casual' 'Indie' 'Simulation' 'Strategy'],Lost Summoner Kitty,2018-01-04,761140,nan
['Free to Play' 'Indie' 'RPG' 'Strategy'],Ironbound,2018-01-04,643980,nan
['Casual' 'Free to Play' 'Indie' 'Simulation' 'Sports'],Real Pool 3D - Poolians,2017-07-24,670290,nan
['Action' 'Adventure' 'Casual'],弹炸人2222,2017-12-07,767400,nan
['Action' 'Adventure' 'Simulation'],Battle Royale Trainer,2018-01-04,772540,nan
['Free to Play' 'Indie' 'Simulation' 'Sports'],SNOW - All Access Basic Pass,2018-01-04,774276,nan
['Free to Play' 'Indie' 'Simulation' 'Sports'],SNOW - All Access Pro Pass,2018-01-04,774277,nan
['Free to Play' 'Indie' 'Simulation' 'Sports'],SNOW - All Access Legend Pass,2018-01-04,774278,nan
['Casual' 'Indie' 'Racing' 'Simulation'],Race,2018-01-04,768800,nan
['Action' 'Indie' 'Simulation' 'Early Access'],Uncanny Islands,Soon..,768570,nan
['Action' 'Adventure' 'Casual' 'Indie' 'RPG'],Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,nan
['Casual' 'Indie'],Beach Rules,2018-01-04,768880,nan
['Casual' 'Indie' 'Simulation'],Planetarium 2 - Zen Odyssey,2018-01-03,765320,nan
['Adventure' 'Casual' 'Indie' 'Simulation' 'Strategy'],The first thrust of God,2018-01-03,773650,nan
['Free to Play' 'Indie' 'Simulation' 'Sports'],SNOW - Starter Pack,2018-01-03,774271,nan
['Adventure' 'Casual' 'Indie' 'Simulation' 'Strategy'],The first thrust of God - All Aircrafts,2018-01-03,773690,nan
['Free to Play' 'Indie' 'Simulation' 'Sports'],SNOW - Lifetime Pack,2018-01-03,774279,nan
['Action' 'Adventure' 'Indie'],The Warrior Of Treasures,2018-01-03,768060,nan
['Racing' 'Simulation' 'Sports'],RC Plane 3 - Canyon Scenario,2017-12-22,775880,nan
['Racing' 'Simulation' 'Sports'],RC Plane 3 - F-53B,2017-12-23,775881,nan
['Action' 'Indie'],DinoBlaster,2018-01-03,653960,nan
['Action' 'Indie' 'Racing'],Carmageddon Max Pack,1997-06-30,282010,nan
['Action'],Half-Life,1998-11-08,70,nan
['Action' 'Indie' 'RPG'],Fallen Mage,2016-11-25,752360,nan
['Casual' 'Indie' 'Strategy'],Lost Cities,2018-01-01,520680,nan
['Action'],Twisted Enhanced Edition,2018-01-01,690410,nan
['Casual' 'Indie' 'Simulation'],Vaporwave Simulator,2018-01-01,766850,nan
"['Action' 'Casual' 'Indie' 'Massively Multiplayer' 'Simulation' 'Sports'
 'Strategy']",Tactics Forever,2018-01-01,413120,nan
['Adventure' 'Casual' 'Indie'],Christmas Santa Troubles,2017-12-30,773120,nan
['Action' 'Adventure' 'RPG'],Underdone - Soundtrack,2018-01-01,754360,nan
['Adventure' 'Casual' 'Indie' 'RPG'],Bitcoin Clicker,2018-01-01,716110,nan
['Strategy'],Disciples II: Gallean's Return,2006-07-06,1640,nan
['Strategy'],Disciples II: Rise of the Elves,2006-07-06,1630,nan
['Action' 'Indie' 'RPG'],The Ship: Murder Party,2006-07-11,2400,nan
['Indie' 'Massively Multiplayer' 'RPG' 'Early Access'],Life of Rome,2017,381620,nan
['Adventure' 'Free to Play' 'RPG' 'Early Access'],Idle Adventure,Beta测试已开启,714020,nan
['Action' 'Indie' 'Strategy' 'Early Access'],Souland,2017-12-29,759920,nan
['Action' 'Adventure' 'Indie' 'RPG' 'Strategy'],Darkness and a Crowd,2018-03-30,659780,nan
['Action' 'Adventure' 'Indie' 'RPG'],TAROTICA VOO DOO,2017-12-29,603280,nan
['Casual' 'Strategy' 'Early Access'],Chronicles of Vinland,2017-12-29,753110,nan
['Action' 'Indie'],Orbitality,2017-12-29,753100,nan
['Action' 'Adventure' 'Casual'],Atomic Adam: Episode 1,2017-12-30,764280,nan
['Adventure' 'Casual' 'Free to Play' 'Indie'],Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,758550,nan
['Action'],Advent Rising,2005-08-09,3800,nan
['Indie' 'Strategy'],DEFCON,2006-09-29,1520,nan
['Action' 'Indie' 'RPG'],The Ship: Single Player,2006-11-20,2420,nan
