user_id,posted,item_id,recommend,sentiment_analysis
76561197970982479,05-11-2011,1250,True,2
76561197970982479,15-07-2011,22200,True,2
76561197970982479,21-04-2011,43110,True,2
js41637,24-06-2014,251610,True,2
js41637,08-09-2013,227300,True,2
js41637,29-11-2013,239030,True,2
evcentric,04-12-2015,370360,True,2
evcentric,03-11-2014,237930,True,2
evcentric,15-10-2014,263360,True,1
evcentric,15-10-2014,107200,True,2
evcentric,15-10-2014,224500,True,2
doctr,14-10-2013,250320,True,2
doctr,28-07-2012,20920,True,2
doctr,02-06-2012,204100,True,2
doctr,29-06-2014,224600,True,2
doctr,22-11-2012,207610,True,0
doctr,23-02-2012,108710,True,2
maplemage,15-04-2014,211420,True,1
maplemage,23-12-2013,211820,True,2
maplemage,14-03-2014,730,True,2
maplemage,11-07-2013,204300,True,2
Wackky,05-05-2014,249130,True,1
Wackky,24-12-2012,207610,True,1
Wackky,21-10-2012,550,True,2
Wackky,20-03-2012,65800,True,2
Wackky,09-03-2012,220,True,2
76561198089393905,01-02-2015,72850,True,0
76561198089393905,20-06-2014,440,True,1
76561198077246154,25-08-2014,304930,True,1
WeiEDKrSat,25-12-2013,4000,True,1
thequeenpanda,23-06-2012,42910,True,1
death-hunter,05-09-2015,232090,True,2
death-hunter,30-03-2015,1250,True,2
death-hunter,19-02-2014,4000,True,2
DJKamBer,14-07-2014,304930,True,2
DJKamBer,27-04-2013,570,True,2
DJKamBer,20-07-2015,218620,True,2
DJKamBer,04-11-2013,224260,True,2
DJKamBer,12-07-2013,1250,True,0
DJKamBer,19-08-2012,440,True,2
Rainbow-Dashie,19-06-2015,730,True,2
Rainbow-Dashie,20-09-2014,440,True,2
Rainbow-Dashie,07-09-2014,49520,True,1
76561198043472122,19-12-2014,33440,False,1
MarbleShrine,17-02-2015,220200,True,2
PPanther,07-06-2014,211820,True,2
devvonst,12-02-2014,440,True,2
devvonst,09-02-2014,218740,True,2
devvonst,31-10-2015,550,True,2
starkillershadow553,04-02-2015,238090,True,0
starkillershadow553,05-04-2014,277430,True,2
76561198058373434,08-01-2015,8870,True,2
76561198048353577,26-10-2015,368230,True,0
76561198048353577,20-03-2013,33930,True,2
76561198066046412,28-12-2015,359320,False,0
76561198066046412,19-05-2015,219640,True,2
tru_mu_,15-12-2015,287980,True,2
76561198070565427,21-08-2015,208090,True,2
76561198070565427,17-10-2014,242700,True,1
76561198070565427,27-06-2014,570,False,1
76561198070565427,28-04-2014,224260,True,1
SavageEeEe,12-11-2015,221100,True,2
76561198076909484,18-06-2014,570,True,2
KanadeTheNeko,20-11-2014,331470,True,2
KanadeTheNeko,29-05-2014,4000,True,2
GoAwayZach,29-12-2014,304930,True,2
76561198054540475,13-02-2015,12210,True,0
76561198054540475,26-12-2014,265210,True,1
76561198054540475,04-02-2014,48700,True,2
76561198061252210,21-05-2015,730,True,2
OfficialShroomsy,06-12-2013,113200,True,2
boydeer,12-05-2014,440,True,1
boydeer,24-08-2015,383080,False,1
VVillis,06-01-2015,213670,True,1
76561198083226897,22-12-2015,105600,True,1
76561198075277292,23-06-2015,730,True,0
76561198075277292,11-09-2015,570,True,2
76561198028895010,22-04-2013,231180,True,2
76561198028895010,27-05-2012,620,True,2
diego9031,05-12-2015,223710,True,1
diego9031,04-10-2015,299360,True,1
diego9031,03-10-2015,322330,True,1
diego9031,13-08-2015,1250,True,1
diego9031,22-02-2015,12100,True,1
diego9031,14-01-2015,204360,True,2
diego9031,14-12-2013,440,True,1
diego9031,01-12-2013,224260,True,2
jarrodtrim,11-02-2012,440,True,2
76561198067936203,12-03-2015,440,True,2
76561198079770573,14-10-2015,1840,True,1
76561198087586464,27-10-2013,440,True,2
Derp-e,27-11-2015,440,True,2
76561198070194565,09-10-2014,233250,True,1
76561198070194565,09-11-2015,248570,True,1
Rivtex,23-12-2015,298630,True,1
UTNerd24,06-05-2014,244210,True,2
UTNerd24,02-12-2015,440,True,1
UTNerd24,06-06-2015,376920,True,2
UTNerd24,29-09-2015,257750,True,2
UTNerd24,08-09-2014,221910,True,1
UTNerd24,15-12-2013,2280,True,0
sandwiches1,23-11-2015,417860,False,1
76561198138053270,01-06-2014,218620,True,2
lucaswerg,11-07-2014,218620,True,2
lucaswerg,14-11-2014,222880,True,1
Life-Of-Blu,13-11-2015,377160,True,2
Life-Of-Blu,15-12-2013,211820,True,2
CaptianAutismo,17-12-2015,252490,True,0
76561198075895633,26-10-2014,440,True,2
kube134,28-06-2014,251990,True,2
iamthekingofbrowntown,12-09-2015,344760,False,0
iamthekingofbrowntown,13-09-2015,252950,True,1
iamthekingofbrowntown,14-10-2015,399730,True,2
yookobz,19-11-2015,377160,True,2
yookobz,25-06-2013,219150,True,2
Posiblydead,11-04-2014,277430,True,2
Posiblydead,22-02-2014,239820,True,2
Posiblydead,24-09-2012,17410,True,2
Mossy_Gaming,26-09-2015,440,True,2
76561198102421718,12-06-2015,270550,True,2
76561198102421718,03-08-2015,274940,True,2
76561198102421718,26-06-2015,333930,True,0
76561198087407319,15-01-2014,440,True,1
76561198056741844,14-10-2014,730,True,1
sad-commie,09-07-2014,212070,True,0
sad-commie,13-03-2014,264140,True,1
76561198030567998,11-11-2014,332800,True,1
76561198030567998,21-07-2015,319630,True,2
76561198030567998,05-07-2015,6020,True,0
76561198030567998,12-03-2015,55230,True,2
76561198030567998,23-02-2014,32430,True,2
Coldaniel,22-03-2015,35450,True,2
Coldaniel,21-08-2014,440,True,2
Coldaniel,13-03-2015,236390,True,2
therealmorty,20-03-2015,351570,True,2
therealmorty,07-03-2015,212680,True,0
Berserklejerker,10-10-2015,391540,True,2
76561198061730629,06-07-2014,550,True,0
YoHuNz,19-06-2014,440,True,1
YoHuNz,19-02-2014,570,True,1
possessioniskey,11-04-2015,72850,True,2
possessioniskey,24-12-2015,440,True,2
possessioniskey,17-05-2014,113400,True,2
76561198093112529,09-08-2014,440,True,2
76561198060447950,26-09-2015,200510,True,2
whiteofwolfing,22-05-2015,730,True,2
sergarino,22-08-2015,383080,True,2
76561198081962345,05-04-2014,1250,True,1
Nozomikat,30-12-2015,265610,True,2
Nozomikat,01-08-2014,264200,True,1
Nozomikat,26-12-2015,417860,True,2
Nozomikat,14-04-2015,333600,True,2
Nozomikat,30-12-2014,213670,True,2
Nozomikat,04-12-2013,91310,True,2
Nozomikat,04-12-2013,210770,True,2
xfluttersx,10-11-2015,351640,True,2
xfluttersx,27-08-2012,105600,True,2
xfluttersx,05-02-2014,440,True,2
xfluttersx,27-01-2013,47870,True,2
xfluttersx,25-08-2015,383080,True,2
xfluttersx,27-08-2012,410,True,2
76561198056290589,16-12-2014,730,True,2
ii_voltage_ii,29-06-2014,253710,False,2
ii_voltage_ii,11-04-2015,339280,True,2
ii_voltage_ii,08-03-2014,271290,True,2
ii_voltage_ii,16-11-2013,203290,True,2
76561198097762318,11-11-2015,440,True,2
76561198097762318,26-12-2014,233150,True,1
Hirukaz,17-01-2013,550,True,0
StelerForYou,17-07-2015,730,True,2
StelerForYou,29-12-2013,211820,True,2
76561198183396245,06-05-2015,440,True,2
Xx-Woods,26-01-2015,224260,True,2
Xx-Woods,16-11-2014,317360,True,2
Xx-Woods,17-08-2014,295550,True,2
Xx-Woods,21-07-2014,250180,True,1
Xx-Woods,19-07-2014,227940,True,0
Xx-Woods,08-02-2014,17520,True,1
Xx-Woods,07-01-2014,113420,True,2
kevinator23,06-07-2015,320760,True,0
kevinator23,06-09-2015,8850,True,2
kevinator23,24-04-2014,233720,True,2
kevinator23,06-07-2015,218620,True,2
kevinator23,27-01-2015,730,True,2
kevinator23,25-01-2015,219740,True,2
kevinator23,24-05-2014,220240,True,2
kevinator23,20-10-2012,440,True,2
76561198090715178,28-03-2014,4000,True,2
76561198090715178,09-07-2014,304930,True,2
CatsWhale,23-02-2015,333950,True,2
CatsWhale,29-08-2015,388520,True,2
CatsWhale,23-11-2014,107410,True,2
CatsWhale,09-09-2014,206210,True,2
76561198073784601,26-03-2015,221100,True,2
mimimomoma,23-11-2015,730,True,2
76561198102410011,14-09-2015,440,True,1
de_Butl3r,13-10-2014,209870,True,2
Bluezap1,27-12-2015,440,True,2
Bluezap1,13-05-2015,730,True,2
Bluezap1,27-12-2015,362890,True,2
Bluezap1,21-12-2015,413850,True,1
76561198074200011,15-11-2015,730,True,2
L1J1N,13-06-2014,570,True,2
Lord_Exploit,13-03-2015,311560,True,2
Lord_Exploit,07-01-2015,322170,True,2
AVATAR715,02-01-2014,48240,False,0
AVATAR715,18-11-2015,440,True,2
AVATAR715,01-06-2014,248570,True,0
AVATAR715,18-03-2014,264140,True,2
AVATAR715,16-02-2014,4000,True,2
AVATAR715,25-02-2015,266430,True,2
AVATAR715,15-08-2015,316010,True,2
AVATAR715,25-12-2014,249570,True,2
76561198078752187,16-12-2014,240,True,1
A-Very-Sly-Person,14-08-2015,304930,True,1
A-Very-Sly-Person,11-11-2014,440,True,2
76561197994493402,01-03-2015,264200,True,2
76561197994493402,27-11-2014,440,True,2
76561198065656175,20-11-2015,383080,True,2
97396295,23-08-2014,301520,True,2
97396295,17-06-2014,243870,True,2
97396295,10-07-2014,218230,False,0
76561198126640317,15-06-2015,251570,True,2
76561198126640317,14-02-2015,221100,True,2
76561198126640317,12-09-2015,316010,True,2
76561198126640317,12-09-2015,218230,True,0
76561198126640317,01-07-2015,333930,True,2
76561198126640317,01-07-2015,222880,True,2
76561198126640317,15-06-2015,730,True,2
DemonicWolvz,15-01-2015,55230,True,2
DemonicWolvz,29-04-2015,232090,True,2
DemonicWolvz,29-03-2015,4000,True,1
DemonicWolvz,23-11-2014,206420,True,2
DemonicWolvz,12-02-2014,224260,True,2
DemonicWolvz,26-12-2013,550,True,2
DieMadchenschanderin,29-08-2015,346110,True,2
DieMadchenschanderin,05-10-2015,380770,False,0
DieMadchenschanderin,14-06-2013,227680,False,2
